"","GearID","IndvID","Species_Name","Total_Length_mm","Total_Length_in","Weight_grams"
"31",6632,30141,"Lake sturgeon",478,18.8188976377953,700
"32",6632,30142,"Lake sturgeon",536,21.1023622047244,650
"33",6632,30143,"Lake sturgeon",402,15.8267716535433,300
"34",6632,30144,"Lake sturgeon",658,25.9055118110236,1400
"35",6632,30145,"Lake sturgeon",585,23.0314960629921,1100
"36",6632,30146,"Lake sturgeon",590,23.2283464566929,1100
"37",6632,30147,"Lake sturgeon",579,22.7952755905512,1000
"38",6632,30148,"Lake sturgeon",628,24.7244094488189,1350
"39",6632,30149,"Lake sturgeon",471,18.5433070866142,500
"40",6632,30150,"Lake sturgeon",605,23.8188976377953,1050
"41",6632,30151,"Lake sturgeon",664,26.1417322834646,1700
"42",6632,30152,"Lake sturgeon",401,15.7874015748031,250
"43",6632,30154,"Lake sturgeon",628,24.7244094488189,1200
"44",6632,30156,"Lake sturgeon",500,19.6850393700787,600
"45",6632,30157,"Lake sturgeon",452,17.7952755905512,400
"46",6644,30178,"Lake sturgeon",631,24.8425196850394,1250
"47",6644,30179,"Lake sturgeon",673,26.496062992126,1500
"48",6644,30180,"Lake sturgeon",668,26.2992125984252,1500
"49",7604,48312,"Lake sturgeon",576,22.6771653543307,NA
"50",7604,48313,"Lake sturgeon",622,24.488188976378,NA
"51",7604,48314,"Lake sturgeon",566,22.2834645669291,NA
"52",7604,48315,"Lake sturgeon",595,23.4251968503937,NA
"53",7604,48316,"Lake sturgeon",655,25.7874015748032,NA
"54",7604,48317,"Lake sturgeon",777,30.5905511811024,NA
"55",7604,48318,"Lake sturgeon",582,22.9133858267717,NA
"56",7604,48319,"Lake sturgeon",601,23.6614173228346,NA
"57",7604,48320,"Lake sturgeon",541,21.2992125984252,NA
"58",7604,48321,"Lake sturgeon",580,22.8346456692913,NA
"59",7604,48322,"Lake sturgeon",632,24.8818897637795,NA
"60",7604,48323,"Lake sturgeon",640,25.1968503937008,NA
"61",7604,48324,"Lake sturgeon",633,24.9212598425197,NA
"62",7604,48325,"Lake sturgeon",590,23.2283464566929,NA
"63",7604,48326,"Lake sturgeon",741,29.1732283464567,NA
"64",7605,48327,"Lake sturgeon",773,30.4330708661417,NA
"65",7606,48328,"Lake sturgeon",601,23.6614173228346,NA
"66",7606,48329,"Lake sturgeon",772,30.3937007874016,NA
"67",7606,48330,"Lake sturgeon",775,30.511811023622,NA
"68",7606,48331,"Lake sturgeon",626,24.6456692913386,NA
"69",7606,48332,"Lake sturgeon",674,26.5354330708661,NA
"70",7606,48333,"Lake sturgeon",536,21.1023622047244,NA
"71",7606,48334,"Lake sturgeon",555,21.8503937007874,NA
"72",7606,48335,"Lake sturgeon",614,24.1732283464567,NA
"73",7606,48336,"Lake sturgeon",711,27.992125984252,NA
"74",7606,48337,"Lake sturgeon",604,23.7795275590551,NA
"75",7606,48338,"Lake sturgeon",533,20.9842519685039,NA
"76",7606,48339,"Lake sturgeon",600,23.6220472440945,NA
"77",7612,48340,"Lake sturgeon",686,27.007874015748,1500
"78",7612,48341,"Lake sturgeon",632,24.8818897637795,1100
"79",7612,48342,"Lake sturgeon",591,23.2677165354331,800
"80",7612,48343,"Lake sturgeon",633,24.9212598425197,1700
"81",7612,48344,"Lake sturgeon",584,22.992125984252,900
"82",7612,48345,"Lake sturgeon",580,22.8346456692913,1300
"83",7612,48346,"Lake sturgeon",791,31.1417322834646,2200
"84",7612,48347,"Lake sturgeon",590,23.2283464566929,800
"85",7612,48348,"Lake sturgeon",592,23.3070866141732,800
"86",7612,48349,"Lake sturgeon",586,23.0708661417323,800
"87",7612,48350,"Lake sturgeon",735,28.9370078740157,1700
"88",7612,48351,"Lake sturgeon",626,24.6456692913386,1200
"89",7612,48352,"Lake sturgeon",572,22.5196850393701,600
"90",7612,48353,"Lake sturgeon",575,22.6377952755906,900
"91",7612,48354,"Lake sturgeon",560,22.0472440944882,700
"92",7612,48355,"Lake sturgeon",542,21.3385826771654,700
"93",7612,48356,"Lake sturgeon",616,24.251968503937,900
"94",7616,48357,"Lake sturgeon",962,37.8740157480315,5100
"95",7617,48358,"Lake sturgeon",597,23.503937007874,1000
"96",7617,48359,"Lake sturgeon",565,22.244094488189,600
"97",7622,48360,"Lake sturgeon",855,33.6614173228346,2700
"98",7626,48361,"Lake sturgeon",611,24.0551181102362,700
"99",7626,48362,"Lake sturgeon",562,22.1259842519685,700
"100",7626,48363,"Lake sturgeon",574,22.5984251968504,1000
"101",7626,48364,"Lake sturgeon",585,23.0314960629921,900
"102",7626,48365,"Lake sturgeon",536,21.1023622047244,750
"103",7626,48366,"Lake sturgeon",616,24.251968503937,1100
"104",7626,48367,"Lake sturgeon",537,21.1417322834646,700
"105",7626,48368,"Lake sturgeon",639,25.1574803149606,1300
"106",7626,48369,"Lake sturgeon",606,23.8582677165354,1000
"107",7626,48370,"Lake sturgeon",586,23.0708661417323,1100
"108",7626,48371,"Lake sturgeon",587,23.1102362204724,1100
"109",7626,48372,"Lake sturgeon",467,18.3858267716535,550
"110",7626,48376,"Lake sturgeon",747,29.4094488188976,2200
"111",7626,48383,"Lake sturgeon",596,23.4645669291339,1000
"112",7626,48385,"Lake sturgeon",587,23.1102362204724,950
"113",8814,61552,"Lake sturgeon",449,17.6771653543307,400
"114",8824,61564,"Lake sturgeon",720,28.3464566929134,1700
"115",8827,61579,"Lake sturgeon",465,18.3070866141732,NA
"116",8836,61618,"Lake sturgeon",526,20.7086614173228,800
"117",8839,61629,"Lake sturgeon",433,17.0472440944882,500
"118",8839,61630,"Lake sturgeon",672,26.4566929133858,1500
"119",10756,77543,"Lake sturgeon",1150,45.2755905511811,7711
"120",10757,77544,"Lake sturgeon",532,20.9448818897638,700
"121",10763,77571,"Lake sturgeon",786,30.9448818897638,2400
"122",10763,77572,"Lake sturgeon",647,25.4724409448819,1100
"123",10775,77600,"Lake sturgeon",594,23.3858267716535,900
"124",10775,77601,"Lake sturgeon",841,33.1102362204724,2800
"125",10775,77602,"Lake sturgeon",524,20.6299212598425,700
"126",10775,77603,"Lake sturgeon",573,22.5590551181102,900
"127",10775,77604,"Lake sturgeon",736,28.9763779527559,1800
"128",10781,77638,"Lake sturgeon",852,33.5433070866142,3300
"129",10787,77642,"Lake sturgeon",552,21.7322834645669,800
"130",10795,77650,"Lake sturgeon",834,32.8346456692913,2800
"131",10795,77651,"Lake sturgeon",762,30,2000
"132",10796,77672,"Lake sturgeon",1231,48.4645669291339,8391
"133",10796,77673,"Lake sturgeon",747,29.4094488188976,2200
"134",10817,77783,"Lake sturgeon",407,16.0236220472441,250
"135",10817,77784,"Lake sturgeon",775,30.511811023622,2400
"136",10818,77785,"Lake sturgeon",561,22.0866141732283,NA
"137",10818,77786,"Lake sturgeon",480,18.8976377952756,500
"138",10825,77788,"Lake sturgeon",842,33.1496062992126,2700
"139",10825,77789,"Lake sturgeon",855,33.6614173228346,2500
"140",10825,77790,"Lake sturgeon",476,18.740157480315,500
"141",12286,99306,"Lake sturgeon",610,24.0157480314961,1100
"142",12291,99313,"Lake sturgeon",854,33.6220472440945,2900
"143",12292,99314,"Lake sturgeon",576,22.6771653543307,900
"144",12293,99316,"Lake sturgeon",1085,42.7165354330709,6600
"145",12295,99318,"Lake sturgeon",543,21.3779527559055,800
"146",12295,99319,"Lake sturgeon",588,23.1496062992126,1000
"147",12296,99321,"Lake sturgeon",1154,45.4330708661417,9700
"148",12297,99322,"Lake sturgeon",915,36.0236220472441,3950
"149",12308,99325,"Lake sturgeon",910,35.8267716535433,3750
"150",12309,99326,"Lake sturgeon",994,39.1338582677165,5200
"151",12309,99327,"Lake sturgeon",983,38.7007874015748,4900
"152",12316,99329,"Lake sturgeon",550,21.6535433070866,700
"153",12316,99330,"Lake sturgeon",484,19.0551181102362,575
"154",12316,99331,"Lake sturgeon",614,24.1732283464567,1150
"155",12316,99332,"Lake sturgeon",567,22.3228346456693,900
"156",12316,99333,"Lake sturgeon",574,22.5984251968504,800
"157",12319,99339,"Lake sturgeon",560,22.0472440944882,875
"158",12319,99340,"Lake sturgeon",660,25.9842519685039,800
"159",12320,99345,"Lake sturgeon",504,19.8425196850394,750
"160",12320,99346,"Lake sturgeon",588,23.1496062992126,850
"161",12323,99350,"Lake sturgeon",500,19.6850393700787,600
"162",12323,99351,"Lake sturgeon",835,32.8740157480315,3150
"163",12324,99355,"Lake sturgeon",628,24.7244094488189,953
"164",12324,99356,"Lake sturgeon",534,21.0236220472441,750
"165",12327,99363,"Lake sturgeon",543,21.3779527559055,800
"166",12327,99364,"Lake sturgeon",835,32.8740157480315,3200
"167",12328,99367,"Lake sturgeon",978,38.503937007874,5150
"168",12332,99368,"Lake sturgeon",660,25.9842519685039,1350
"169",12332,99369,"Lake sturgeon",630,24.8031496062992,1500
"170",12334,99370,"Lake sturgeon",962,37.8740157480315,4400
"171",12340,99374,"Lake sturgeon",952,37.4803149606299,4600
"172",12342,99377,"Lake sturgeon",1031,40.5905511811024,4900
"173",12342,99378,"Lake sturgeon",770,30.3149606299213,2900
"174",12345,99385,"Lake sturgeon",615,24.2125984251969,1050
"175",12345,99386,"Lake sturgeon",695,27.3622047244095,1600
"176",12345,99387,"Lake sturgeon",821,32.3228346456693,2650
"177",12345,99388,"Lake sturgeon",787,30.9842519685039,2550
"178",12345,99389,"Lake sturgeon",880,34.6456692913386,3500
"179",12345,99390,"Lake sturgeon",847,33.3464566929134,3200
"180",12345,99391,"Lake sturgeon",647,25.4724409448819,1150
"181",12348,99403,"Lake sturgeon",851,33.503937007874,2700
"182",12348,99404,"Lake sturgeon",624,24.5669291338583,1150
"183",12348,99405,"Lake sturgeon",793,31.2204724409449,2550
"184",12348,99406,"Lake sturgeon",675,26.5748031496063,1550
"185",12348,99407,"Lake sturgeon",846,33.3070866141732,2750
"186",12348,99408,"Lake sturgeon",580,22.8346456692913,850
"187",12349,99416,"Lake sturgeon",1045,41.1417322834646,6750
"188",12351,99417,"Lake sturgeon",581,22.8740157480315,850
"189",12351,99418,"Lake sturgeon",508,20,600
"190",12356,99421,"Lake sturgeon",597,23.503937007874,1150
"191",12360,99425,"Lake sturgeon",490,19.2913385826772,600
"192",12363,99426,"Lake sturgeon",486,19.1338582677165,600
"193",12366,99427,"Lake sturgeon",1050,41.3385826771654,5300
"194",12366,99428,"Lake sturgeon",1051,41.3779527559055,5200
"195",12368,99429,"Lake sturgeon",831,32.7165354330709,3050
"196",12368,99430,"Lake sturgeon",903,35.5511811023622,4300
"197",14824,119105,"Lake sturgeon",932,36.6929133858268,4250
"198",14824,119106,"Lake sturgeon",726,28.5826771653543,1800
"199",14828,119108,"Lake sturgeon",708,27.8740157480315,1550
"200",14828,119109,"Lake sturgeon",851,33.503937007874,2750
"201",14829,119110,"Lake sturgeon",851,33.503937007874,3000
"202",14831,119111,"Lake sturgeon",956,37.6377952755906,4800
"203",14836,119116,"Lake sturgeon",411,16.1811023622047,1100
"204",14842,119118,"Lake sturgeon",639,25.1574803149606,1100
"205",14846,119120,"Lake sturgeon",955,37.5984251968504,3750
"206",14849,119122,"Lake sturgeon",NA,NA,NA
"207",14855,119123,"Lake sturgeon",636,25.0393700787402,1200
"208",14855,119124,"Lake sturgeon",677,26.6535433070866,1400
"209",14855,119125,"Lake sturgeon",636,25.0393700787402,1300
"210",14859,119128,"Lake sturgeon",700,27.5590551181102,1600
"211",14859,119129,"Lake sturgeon",602,23.7007874015748,1050
"212",14859,119130,"Lake sturgeon",829,32.6377952755906,3000
"213",14860,119131,"Lake sturgeon",1068,42.0472440944882,7700
"214",14870,119139,"Lake sturgeon",636,25.0393700787402,1050
"215",14872,119140,"Lake sturgeon",1021,40.1968503937008,5400
"216",14873,119141,"Lake sturgeon",619,24.3700787401575,1150
"217",14873,119142,"Lake sturgeon",691,27.2047244094488,1600
"218",14882,119147,"Lake sturgeon",963,37.9133858267717,4800
"219",14884,119148,"Lake sturgeon",645,25.3937007874016,1300
"220",14884,119149,"Lake sturgeon",656,25.8267716535433,1550
"221",14885,119151,"Lake sturgeon",882,34.7244094488189,4400
"222",14885,119152,"Lake sturgeon",912,35.9055118110236,4150
"223",14885,119153,"Lake sturgeon",804,31.6535433070866,3000
"224",14887,119154,"Lake sturgeon",645,25.3937007874016,1350
"225",14887,119155,"Lake sturgeon",613,24.1338582677165,1300
"226",14887,119156,"Lake sturgeon",581,22.8740157480315,900
"227",14887,119157,"Lake sturgeon",734,28.8976377952756,1800
"228",14891,119159,"Lake sturgeon",1088,42.8346456692913,6600
"229",14891,119160,"Lake sturgeon",1006,39.6062992125984,5200
"230",14893,119161,"Lake sturgeon",901,35.4724409448819,3800
"231",14915,119176,"Lake sturgeon",668,26.2992125984252,1400
"232",14916,119183,"Lake sturgeon",979,38.5433070866142,4750
"233",14918,119184,"Lake sturgeon",657,25.8661417322835,1400
"234",15534,124937,"Lake sturgeon",725,28.5433070866142,1700
"235",15544,124949,"Lake sturgeon",1000,39.3700787401575,5100
"236",15544,124950,"Lake sturgeon",1028,40.4724409448819,6500
"237",15583,124993,"Lake sturgeon",1080,42.5196850393701,7500
"238",15596,125004,"Lake sturgeon",703,27.6771653543307,1950
"239",15606,125017,"Lake sturgeon",729,28.7007874015748,2000
"240",15606,125018,"Lake sturgeon",720,28.3464566929134,1700
"241",15636,125032,"Lake sturgeon",1034,40.7086614173228,6500
"242",15638,125033,"Lake sturgeon",853,33.5826771653543,4200
"243",16127,131805,"Lake sturgeon",1099,43.2677165354331,7100
"244",16127,131806,"Lake sturgeon",1143,45,7000
"245",16130,131807,"Lake sturgeon",901,35.4724409448819,3050
"246",16135,131815,"Lake sturgeon",1050,41.3385826771654,4900
"247",16144,131818,"Lake sturgeon",707,27.8346456692913,1500
"248",16147,131819,"Lake sturgeon",785,30.9055118110236,2500
"249",16148,131820,"Lake sturgeon",1002,39.4488188976378,5150
"250",16148,131821,"Lake sturgeon",674,26.5354330708661,1800
"251",16158,131824,"Lake sturgeon",1093,43.0314960629921,6100
"252",16169,131829,"Lake sturgeon",414,16.2992125984252,250
"253",16171,131832,"Lake sturgeon",1079,42.4803149606299,6200
"254",16174,131834,"Lake sturgeon",1195,47.0472440944882,11300
"255",16176,131835,"Lake sturgeon",759,29.8818897637795,2100
"256",16176,131836,"Lake sturgeon",719,28.3070866141732,2100
"257",16176,131837,"Lake sturgeon",887,34.9212598425197,4400
"258",16178,131841,"Lake sturgeon",1146,45.1181102362205,9700
"259",16178,131842,"Lake sturgeon",997,39.251968503937,6300
"260",16205,131854,"Lake sturgeon",960,37.7952755905512,4300
"261",16211,131859,"Lake sturgeon",760,29.9212598425197,2200
"262",16212,131866,"Lake sturgeon",853,33.5826771653543,3300
"263",16215,131870,"Lake sturgeon",725,28.5433070866142,1700
"264",16870,139288,"Lake sturgeon",475,18.7007874015748,500
"265",16870,139289,"Lake sturgeon",935,36.8110236220472,4900
"266",16867,139290,"Lake sturgeon",809,31.8503937007874,3100
"267",16865,139291,"Lake sturgeon",1135,44.6850393700787,7600
"268",16878,139297,"Lake sturgeon",859,33.8188976377953,3500
"269",16889,139303,"Lake sturgeon",1075,42.3228346456693,7500
"270",17561,144641,"Lake sturgeon",1349,53.1102362204724,NA
"271",17570,144653,"Lake sturgeon",1183,46.5748031496063,9500
"272",17574,144663,"Lake sturgeon",691,27.2047244094488,1550
"273",17574,144664,"Lake sturgeon",416,16.3779527559055,300
"274",17574,144665,"Lake sturgeon",694,27.3228346456693,1700
"275",17581,144695,"Lake sturgeon",588,23.1496062992126,1025
"276",17581,144696,"Lake sturgeon",369,14.5275590551181,225
"277",17581,144697,"Lake sturgeon",401,15.7874015748031,300
"278",17597,144812,"Lake sturgeon",1098,43.2283464566929,6800
"279",17599,144815,"Lake sturgeon",287,11.2992125984252,125
"280",17599,144816,"Lake sturgeon",356,14.0157480314961,200
"281",17606,144822,"Lake sturgeon",935,36.8110236220472,4400
"282",17616,144829,"Lake sturgeon",542,21.3385826771654,650
"283",17616,144830,"Lake sturgeon",531,20.9055118110236,550
"284",17617,144832,"Lake sturgeon",637,25.0787401574803,1325
"285",20005,179671,"Lake sturgeon",579,22.7952755905512,850
"286",20011,179673,"Lake sturgeon",653,25.7086614173228,1300
"287",20011,179674,"Lake sturgeon",882,34.7244094488189,3700
"288",20011,179675,"Lake sturgeon",465,18.3070866141732,450
"289",20023,179678,"Lake sturgeon",671,26.4173228346457,1400
"290",20038,179680,"Lake sturgeon",526,20.7086614173228,700
"291",20044,179681,"Lake sturgeon",1079,42.4803149606299,6900
"292",20044,179682,"Lake sturgeon",894,35.1968503937008,3600
"293",20047,179684,"Lake sturgeon",581,22.8740157480315,1000
"294",20053,179688,"Lake sturgeon",597,23.503937007874,1000
"295",20066,179694,"Lake sturgeon",447,17.5984251968504,350
"296",20074,179697,"Lake sturgeon",503,19.8031496062992,650
"297",20077,179699,"Lake sturgeon",481,18.9370078740157,400
"298",20078,179700,"Lake sturgeon",498,19.6062992125984,600
"299",20085,179705,"Lake sturgeon",1210,47.6377952755906,NA
"300",20769,193384,"Lake sturgeon",511,20.1181102362205,550
"301",20769,193385,"Lake sturgeon",634,24.9606299212598,1300
"302",20772,193386,"Lake sturgeon",504,19.8425196850394,500
"303",20778,193387,"Lake sturgeon",537,21.1417322834646,800
"304",20783,193388,"Lake sturgeon",1190,46.8503937007874,NA
"305",20782,193389,"Lake sturgeon",484,19.0551181102362,500
"306",20782,193390,"Lake sturgeon",682,26.8503937007874,1500
"307",20782,193391,"Lake sturgeon",536,21.1023622047244,750
"308",20782,193392,"Lake sturgeon",563,22.1653543307087,900
"309",20781,193393,"Lake sturgeon",1315,51.7716535433071,NA
"310",20780,193394,"Lake sturgeon",980,38.5826771653543,5800
"311",20779,193395,"Lake sturgeon",554,21.8110236220472,875
"312",20779,193396,"Lake sturgeon",572,22.5196850393701,1000
"313",20788,193400,"Lake sturgeon",570,22.4409448818898,900
"314",20785,193406,"Lake sturgeon",514,20.2362204724409,650
"315",20796,193408,"Lake sturgeon",455,17.9133858267717,400
"316",20796,193409,"Lake sturgeon",533,20.9842519685039,600
"317",20794,193411,"Lake sturgeon",1102,43.3858267716535,6800
"318",20791,193412,"Lake sturgeon",372,14.6456692913386,200
"319",20791,193413,"Lake sturgeon",605,23.8188976377953,1025
"320",20800,193415,"Lake sturgeon",582,22.9133858267717,950
"321",20805,193417,"Lake sturgeon",561,22.0866141732283,850
"322",20812,193418,"Lake sturgeon",587,23.1102362204724,1100
"323",20809,193419,"Lake sturgeon",508,20,600
"324",20815,193421,"Lake sturgeon",506,19.9212598425197,600
"325",20815,193422,"Lake sturgeon",528,20.7874015748032,700
"326",20818,193423,"Lake sturgeon",579,22.7952755905512,800
"327",20818,193424,"Lake sturgeon",686,27.007874015748,1450
"328",20819,193425,"Lake sturgeon",1137,44.7637795275591,8000
"329",20836,193426,"Lake sturgeon",464,18.2677165354331,500
"330",20859,193434,"Lake sturgeon",956,37.6377952755906,4800
"331",20859,193435,"Lake sturgeon",512,20.1574803149606,700
"332",20857,193436,"Lake sturgeon",1191,46.8897637795276,8400
"333",21639,207075,"Lake sturgeon",542,21.3385826771654,800
"334",21650,207086,"Lake sturgeon",972,38.2677165354331,5100
"335",21671,207104,"Lake sturgeon",1080,42.5196850393701,6700
"336",21688,207122,"Lake sturgeon",540,21.259842519685,750
"337",21694,207130,"Lake sturgeon",1143,45,6500
"338",21700,207137,"Lake sturgeon",547,21.5354330708661,850
"339",21703,207148,"Lake sturgeon",993,39.0944881889764,5500
"340",21703,207149,"Lake sturgeon",412,16.2204724409449,250
"341",21705,207150,"Lake sturgeon",1290,50.7874015748032,9500
"342",21706,207151,"Lake sturgeon",572,22.5196850393701,1000
"343",21706,207152,"Lake sturgeon",562,22.1259842519685,1000
"344",21715,207161,"Lake sturgeon",543,21.3779527559055,800
"345",21715,207162,"Lake sturgeon",478,18.8188976377953,500
